"flowerID;""garden"";""species"";""compound"";""tot.vase.days"""
11111;1;1;1;17
11112;1;1;1;15
11113;1;1;1;13
11114;1;1;1;13
11212;1;1;1;18
11213;1;1;1;18
11214;1;1;1;16
11311;1;1;1;13
11312;1;1;1;9
11313;1;1;1;11
11314;1;1;1;15
11411;1;1;1;17
11412;1;1;1;15
11413;1;1;1;17
11511;1;1;1;21
11512;1;1;1;15
11513;1;1;1;20
11514;1;1;1;15
11611;1;1;1;19
11613;1;1;1;12
11711;1;1;1;13
11713;1;1;1;11
11812;1;1;1;8
11813;1;1;1;13
11814;1;1;1;16
12111;1;2;1;10
12112;1;2;1;8
12113;1;2;1;15
12114;1;2;1;17
12211;1;2;1;16
12212;1;2;1;11
12213;1;2;1;15
12311;1;2;1;12
12313;1;2;1;11
12314;1;2;1;11
12411;1;2;1;13
12413;1;2;1;15
12414;1;2;1;21
12513;1;2;1;9
12514;1;2;1;18
12611;1;2;1;22
12612;1;2;1;21
12613;1;2;1;11
12614;1;2;1;14
12711;1;2;1;17
12712;1;2;1;8
12713;1;2;1;8
12811;1;2;1;8
12812;1;2;1;17
12813;1;2;1;13
21111;2;1;1;19
21113;2;1;1;17
21114;2;1;1;16
21211;2;1;1;14
21212;2;1;1;20
21214;2;1;1;13
21311;2;1;1;6
21312;2;1;1;15
21313;2;1;1;9
21314;2;1;1;18
21412;2;1;1;9
21413;2;1;1;23
21414;2;1;1;11
21512;2;1;1;12
21513;2;1;1;19
21611;2;1;1;16
21612;2;1;1;10
21613;2;1;1;10
21711;2;1;1;17
21712;2;1;1;17
21714;2;1;1;7
21811;2;1;1;12
21812;2;1;1;16
21813;2;1;1;17
21814;2;1;1;15
22111;2;2;1;5
22112;2;2;1;9
22113;2;2;1;16
22114;2;2;1;23
22211;2;2;1;16
22212;2;2;1;12
22213;2;2;1;13
22214;2;2;1;19
22311;2;2;1;20
22312;2;2;1;9
22313;2;2;1;18
22411;2;2;1;13
22412;2;2;1;13
22414;2;2;1;17
22512;2;2;1;10
22611;2;2;1;18
